,#,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Victory_Rate,Total_Battles,Victory_Counts,Offensive_Power,Defensive_Power,Speed_to_Power_Ratio,Bug,Dark,Dragon,Electric,Fairy,Fighting,Fire,Flying,Ghost,Grass,Ground,Ice,Normal,Poison,Psychic,Rock,Steel,Water,,Type
0,1,Bulbasaur,Grass,Poison,45,49,49,65,65,45,1,0,0.2781954887218045,133.0,37.0,0.24847343461473897,0.18907449068866392,0.42505077446273964,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Grass
1,2,Ivysaur,Grass,Poison,60,62,63,80,80,60,1,0,0.38016528925619836,121.0,46.0,0.3292785798220581,0.25201474815648045,0.45578849193703286,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Grass
2,3,Venusaur,Grass,Poison,80,82,83,100,100,80,1,0,0.6742424242424242,132.0,89.0,0.4406223770354205,0.33741657292838395,0.472855974145354,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Grass
3,4,Mega Venusaur,Grass,Poison,80,100,123,122,120,80,1,0,0.56,125.0,70.0,0.49483800570757097,0.4056705411823522,0.38155976790764007,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Grass
4,5,Charmander,Fire,,39,52,43,60,50,65,1,0,0.49107142857142855,112.0,55.0,0.3028768675507806,0.15273965754280716,0.6508382282694631,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Fire
5,6,Charmeleon,Fire,,58,64,58,80,65,80,1,0,0.5423728813559322,118.0,64.0,0.38912413966761794,0.22466504186976627,0.6119356942593817,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Fire
6,7,Charizard,Fire,Flying,78,84,78,109,85,100,1,0,0.8646616541353384,133.0,115.0,0.5126961977505455,0.3100668666416698,0.5619229030239021,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Fire
7,8,Mega Charizard X,Fire,Dragon,78,130,111,130,85,100,1,0,0.8561151079136691,139.0,119.0,0.6033909686083598,0.34673353330833645,0.4085166202898778,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Dragon
8,9,Mega Charizard Y,Fire,Flying,78,104,78,159,115,100,1,0,0.8444444444444444,135.0,114.0,0.6076580073862683,0.3457811523559555,0.403336047351637,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Fire
9,10,Squirtle,Water,,44,48,65,50,64,43,1,0,0.1623931623931624,117.0,19.0,0.2210273627664932,0.2036932883389576,0.48165799497087564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Water
10,11,Wartortle,Water,,59,63,80,65,80,58,1,0,0.41843971631205673,141.0,59.0,0.304535210676515,0.2689351331083615,0.49371377780307607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Water
11,12,Blastoise,Water,,79,83,100,85,105,78,1,0,0.0,0.0,0.0,0.4158790078898775,0.3602893388326459,0.5024423325236034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Water
